,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,cs_rate,save_pct_proxy,gk_offensive
347,1.3592367851149796,1.3844756767371147,1.5231936643958974,2.0498225999012902,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,0.17684992277105893,-0.2721747437871659,1.991312162756295,-0.40425147250511956,-0.6213339571952319,0.4563931245671544,1.1079205098681428,-0.31905152558976996,-0.2721747437871659,-0.2352454750034524
2178,-0.4911733251918122,-0.5466947743082483,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-1.7517279271791024,-0.40425147250511956,-0.6213339571952319,-3.5787899889839045,-1.2499395687898753,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
2513,-0.9537758527685102,-0.9197617932601935,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.019623963750441075,1.9931912487776982,1.340124001654044,0.7346816151568826,-0.3160646855196059,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
985,0.8966342575382817,0.8358477076901365,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.8856829734902599,-0.40425147250511956,-0.6213339571952319,-2.4656360266249915,-0.5097175270386403,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
3002,-1.2621775378196423,-1.14408967393718,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,0.23368290810602216,-0.40425147250511956,0.9042444552430938,-0.2393281019071661,-0.42136463349490544,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
1357,0.43403172996158373,0.3311099761669167,0.9782371533256938,0.9619738569582096,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.01053811370487106,-0.19934789827872132,-0.40425147250511956,-0.6213339571952319,-3.5787899889839045,-0.5097175270386403,0.13041912614236406,-0.01053811370487106,-0.2352454750034524
915,0.5882325724871497,0.49447919361646125,0.9079298885750849,0.8422411331314897,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.13875590831908927,-0.019623963750441075,-0.40425147250511956,-0.6213339571952319,0.5955373698620186,-0.5924126179336279,-0.10234693603331309,-0.13875590831908927,-0.2352454750034524
2133,-0.18277164014068023,-0.2735999630493081,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,0.4869899534987969,-0.40425147250511956,-0.6213339571952319,0.3172488792722903,1.0372133221513744,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
632,1.2050359425894137,1.1967229939965933,0.49794772530680625,0.06614638218983085,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,0.7950999582538303,0.8061192487020843,-0.40425147250511956,-0.6213339571952319,0.03896038868256211,1.0372133221513744,1.4840043790117914,0.7950999582538303,-0.2352454750034524
2628,-0.33697248266624624,-0.4125857152078759,-0.5542319349174889,-0.5872221785817122,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.632377663449776,-0.40425147250511956,-0.6213339571952319,1.291258596336339,-0.5097175270386403,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
